year,tariffeu,tariffne
1992,8.970932492379172,9.277390438544648
1993,8.57731069314401,9.190968704957962
1994,8.272427665121638,9.190968704957962
1995,5.519797423173441,8.793175510276166
1996,3.12770163123647,9.00180994018735
1997,.7091689272515046,8.779569676695102
1998,.5242541284004871,8.539161282436515
1999,.3252013376233383,8.313175390272329
2000,.1615705876718634,8.311946122569042
2001,0,8.293261638395053
2002,0,8.322608324180976
2003,0,8.2760319177189
